Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-10-26 09:29:22,0.0,4.17604,-0.15069,23.97615,-0.00254
2018-10-26 09:30:22,1.0,4.17301,-0.15325,23.97615,-0.00507
2018-10-26 09:31:22,2.0,4.17014,-0.15069,23.97615,-0.00761
2018-10-26 09:32:22,2.9999500000000503,4.16761,-0.15069,23.76583,-0.01014
2018-10-26 09:33:22,4.0,4.16509,-0.15325,23.66067,-0.01268
2018-10-26 09:34:22,5.0,4.16273,-0.15325,23.76583,-0.01522
2018-10-26 09:35:22,6.0,4.16053,-0.15069,23.76583,-0.01775
2018-10-26 09:36:22,7.0,4.15834,-0.15069,23.97615,-0.02029
2018-10-26 09:37:22,7.999966666666781,4.15632,-0.15069,23.87099,-0.02281
2018-10-26 09:38:22,8.999966666666781,4.1543,-0.15069,23.76583,-0.02535
2018-10-26 09:39:22,9.999966666666781,4.15244,-0.15325,23.76583,-0.02787
2018-10-26 09:40:22,10.999966666666781,4.15042,-0.15325,23.76583,-0.03041
2018-10-26 09:41:22,11.99995000000005,4.14857,-0.15069,23.87099,-0.03295
2018-10-26 09:42:22,12.999966666666781,4.14688,-0.15325,23.87099,-0.03548
2018-10-26 09:43:22,13.999983333333512,4.14503,-0.15069,23.87099,-0.03801
2018-10-26 09:44:22,15.0,4.14334,-0.15325,23.87099,-0.04055
2018-10-26 09:45:22,16.0,4.14166,-0.15325,23.76583,-0.0431
2018-10-26 09:46:22,17.0,4.14014,-0.15325,23.76583,-0.04565
2018-10-26 09:47:22,17.99998333333351,4.13845,-0.15069,23.87099,-0.04818
2018-10-26 09:48:22,19.0,4.13694,-0.15325,23.87099,-0.05072
2018-10-26 09:49:22,19.99998333333351,4.13542,-0.15325,23.87099,-0.05325
2018-10-26 09:50:22,20.99995000000005,4.13407,-0.15325,23.87099,-0.05579
2018-10-26 09:51:22,22.0,4.13255,-0.15325,23.87099,-0.05832
2018-10-26 09:52:22,22.99998333333351,4.13121,-0.15069,23.76583,-0.06086
