Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-12-24 16:54:26,0.0,0.0,4.18363,-0.03831,-19.87496,-0.0
2018-12-24 16:54:26,0.001600000000083431,0.09600000000500586,4.17739,-0.07918,-19.87496,-0.0
2018-12-24 16:54:26,0.00323333333338572,0.1940000000031432,4.17402,-0.08939,-19.87496,-0.0
2018-12-24 16:54:26,0.004966666666708382,0.29800000000250293,4.17132,-0.0945,-19.87496,-1e-05
2018-12-24 16:54:27,0.00666666666669092,0.4000000000014552,4.1693,-0.0945,-19.87496,-1e-05
2018-12-24 16:54:27,0.008300000000114474,0.4980000000068685,4.16761,-0.0945,-19.87496,-1e-05
2018-12-24 16:54:27,0.009966666666756888,0.5980000000054133,4.16593,-0.09706,-19.87496,-2e-05
2018-12-24 16:54:27,0.011666666666739427,0.7000000000043656,4.16424,-0.09706,-19.87496,-2e-05
2018-12-24 16:54:27,0.013266666666701591,0.7960000000020955,4.16289,-0.09706,-19.87496,-2e-05
2018-12-24 16:54:27,0.0149500000000747,0.897000000004482,4.16155,-0.0945,-19.87496,-2e-05
2018-12-24 16:54:27,0.016650000000057237,0.9990000000034343,4.16003,-0.09706,-19.87496,-3e-05
2018-12-24 16:54:27,0.018333333333430346,1.1000000000058208,4.15868,-0.09706,-19.87496,-3e-05
2018-12-24 16:54:27,0.020016666666682188,1.2010000000009313,4.15716,-0.0945,-19.87496,-3e-05
2018-12-24 16:54:27,0.021616666666765618,1.2970000000059372,4.15615,-0.0945,-19.87496,-4e-05
2018-12-24 16:54:28,0.023316666666748156,1.3990000000048894,4.1548,-0.09706,-19.87496,-4e-05
2018-12-24 16:54:28,0.025016666666730695,1.5010000000038417,4.15362,-0.0945,-19.87496,-4e-05
2018-12-24 16:54:28,0.026633333333423555,1.5980000000054133,4.15261,-0.0945,-19.87496,-4e-05
2018-12-24 16:54:28,0.028333333333406093,1.7000000000043656,4.15143,-0.09706,-19.87496,-5e-05
2018-12-24 16:54:28,0.029950000000098953,1.7970000000059372,4.15042,-0.09706,-19.87496,-5e-05
2018-12-24 16:54:28,0.031616666666741365,1.897000000004482,4.14924,-0.09706,-19.87496,-5e-05
2018-12-24 16:54:28,0.03328333333338378,1.9970000000030268,4.14823,-0.09706,-19.87496,-5e-05
2018-12-24 16:54:28,0.034950000000026196,2.0970000000015716,4.14739,-0.09706,-19.87496,-6e-05
2018-12-24 16:54:28,0.03665000000000873,2.199000000000524,4.14638,-0.09706,-19.87496,-6e-05
2018-12-24 16:54:28,0.03835000000011254,2.301000000006752,4.14536,-0.09706,-19.87496,-6e-05
2018-12-24 16:54:29,0.03996666666668413,2.3980000000010477,4.14452,-0.09706,-19.87496,-6e-05
2018-12-24 16:54:29,0.04165000000005724,2.4990000000034343,4.14368,-0.09706,-19.87496,-7e-05
2018-12-24 16:54:29,0.04335000000003977,2.6010000000023865,4.14284,-0.09706,-19.87496,-7e-05
2018-12-24 16:54:29,0.04495000000000194,2.6970000000001164,4.14216,-0.0945,-19.87496,-7e-05
2018-12-24 16:54:29,0.04663333333337505,2.798000000002503,4.14132,-0.0945,-19.87496,-8e-05
2018-12-24 16:54:29,0.048333333333357584,2.900000000001455,4.14048,-0.09706,-19.87496,-8e-05
2018-12-24 16:54:29,0.04995000000005045,2.997000000003027,4.13559,-0.14814,-19.87496,-8e-05
2018-12-24 16:54:29,0.051633333333423556,3.0980000000054133,4.12615,-0.20688,-19.87496,-9e-05
2018-12-24 16:54:29,0.05333333333340609,3.2000000000043656,4.12059,-0.22221,-19.87496,-9e-05
2018-12-24 16:54:29,0.0550166666667792,3.301000000006752,4.11637,-0.22731,-19.87496,-0.0001
2018-12-24 16:54:30,0.056700000000031045,3.4020000000018626,4.11283,-0.22987,-19.87496,-0.00011
2018-12-24 16:54:30,0.0583166666667239,3.4990000000034343,4.1098,-0.22987,-19.87496,-0.00011
2018-12-24 16:54:30,0.06001666666670644,3.6010000000023865,4.10693,-0.23242,-19.87496,-0.00012
2018-12-24 16:54:30,0.06166666666673943,3.7000000000043656,4.1044,-0.22987,-19.87496,-0.00013
2018-12-24 16:54:30,0.06330000000004171,3.798000000002503,4.10171,-0.22987,-19.87496,-0.00013
2018-12-24 16:54:30,0.06500000000002425,3.900000000001455,4.09901,-0.23242,-19.87496,-0.00014
2018-12-24 16:54:30,0.0667000000000068,4.0020000000004075,4.08064,-0.43164,-19.87496,-0.00015
2018-12-24 16:54:30,0.06835000000003978,4.1010000000023865,4.04693,-0.65385,-19.87496,-0.00017
2018-12-24 16:54:30,0.06995000000000194,4.197000000000116,4.0267,-0.72025,-19.87496,-0.00019
2018-12-24 16:54:30,0.0717000000000553,4.302000000003318,4.01237,-0.74324,-19.87496,-0.00021
2018-12-24 16:54:31,0.07328333333340803,4.397000000004482,4.00057,-0.7509,-19.87496,-0.00023
2018-12-24 16:54:31,0.07495000000005045,4.497000000003027,3.99046,-0.75346,-19.87496,-0.00025
2018-12-24 16:54:31,0.07663333333342355,4.598000000005413,3.98136,-0.75601,-19.87496,-0.00027
2018-12-24 16:54:31,0.0783166666666754,4.699000000000524,3.97327,-0.75856,-19.87496,-0.00029
2018-12-24 16:54:31,0.0800166666667792,4.801000000006752,3.96585,-0.75856,-19.87496,-0.00031
2018-12-24 16:54:31,0.0816333333333508,4.898000000001048,3.95928,-0.76112,-19.87496,-0.00034
2018-12-24 16:54:31,0.08331666666672391,4.999000000003434,3.93079,-1.05228,-19.87496,-0.00037
2018-12-24 16:54:31,0.08501666666670644,5.1010000000023865,3.88494,-1.36388,-19.87496,-0.0004
2018-12-24 16:54:31,0.0866333333333993,5.198000000003958,3.85797,-1.46349,-19.87496,-0.00044
2018-12-24 16:54:31,0.08830000000004172,5.298000000002503,3.83994,-1.4967,-19.87496,-0.00049
2018-12-24 16:54:32,0.09001666666675495,5.401000000005297,3.82628,-1.51202,-19.87496,-0.00053
2018-12-24 16:54:32,0.09161666666671711,5.497000000003027,3.81651,-1.51713,-19.87496,-0.00057
2018-12-24 16:54:32,0.09331666666669965,5.599000000001979,3.80707,-1.52224,-19.87496,-0.00061
2018-12-24 16:54:32,0.0950166666666822,5.701000000000931,3.79999,-1.52735,-19.87496,-0.00065
2018-12-24 16:54:32,0.09661666666676562,5.797000000005937,3.79459,-1.5299,-19.87496,-0.0007
2018-12-24 16:54:32,0.09831666666674815,5.899000000004889,3.7892,-1.53245,-19.87496,-0.00074
2018-12-24 16:54:32,0.09993333333344102,5.996000000006461,3.76493,-1.8134,-19.87496,-0.00079
2018-12-24 16:54:32,0.10163333333342356,6.098000000005413,3.72414,-2.14288,-19.87496,-0.00085
2018-12-24 16:54:32,0.1033333333334061,6.200000000004366,3.70071,-2.25526,-19.87496,-0.00091
2018-12-24 16:54:32,0.1050166666667792,6.301000000006752,3.6879,-2.29102,-19.87496,-0.00097
2018-12-24 16:54:33,0.1066333333333508,6.398000000001048,3.67896,-2.30634,-19.87496,-0.00104
2018-12-24 16:54:33,0.1083166666667239,6.499000000003434,3.67256,-2.31401,-19.87496,-0.0011
2018-12-24 16:54:33,0.10993333333341676,6.596000000005006,3.6675,-2.31911,-19.87496,-0.00117
2018-12-24 16:54:33,0.1116333333333993,6.698000000003958,3.66329,-2.32167,-19.87496,-0.00123
2018-12-24 16:54:33,0.11333333333338184,6.80000000000291,3.65992,-2.32422,-19.87496,-0.0013
